id,group,transaction_id,transaction_type,recipient_name,recipient_email,amount,currency,fuel_type,quantity_liters,truck_number,truck_id,departure_date,arrival_date,storage_location,contract_ref,notes,created_at,metadata,transaction_amount,transaction_currency,transaction_date
15,Group C,BPCL-TXN-1000010,incoming,Kavita Sharma,kavita.sharma@bpcl.co.in,144361.91,INR,MS,30586,"TRK8454,TRK5673,TRK7930","TID830429,TID865990,TID921414",,2025-03-13,TankFarm-11,CNTR-27973,Customs hold,2025-01-25T09:13:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 30586, ""truck_count"": 3, ""contract_ref"": ""CNTR-27973"", ""storage_location"": ""TankFarm-11""}",25133.7,INR,2025-01-25T09:13:00
19,Group A,BPCL-TXN-1000011,incoming,Kavita Verma,kavita.verma@bpcl.co.in,663626.53,INR,HSD,29217,"TRK3584,TRK8179,TRK9900","TID837715,TID417212,TID741390",,2025-03-25,TankFarm-9,CNTR-20128,Documentation pending,2025-02-08T21:06:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 29217, ""truck_count"": 3, ""contract_ref"": ""CNTR-20128"", ""storage_location"": ""TankFarm-9""}",25147.07,INR,2025-02-08T21:06:00
21,Group C,BPCL-TXN-1000012,incoming,Vikram Sharma,vikram.sharma@bpcl.co.in,91916.39,INR,ATF,23132,TRK1058,TID449759,,2025-01-17,TankFarm-11,CNTR-24291,Customs hold,2025-02-26T17:45:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 23132, ""truck_count"": 1, ""contract_ref"": ""CNTR-24291"", ""storage_location"": ""TankFarm-11""}",25160.44,INR,2025-02-26T17:45:00
22,Group A,BPCL-TXN-1000013,incoming,Priya Patel,priya.patel@bpcl.co.in,710161.93,INR,HSD,40755,TRK7049,TID710805,,2025-03-12,TankFarm-3,CNTR-27041,Customs hold,2025-01-06T09:23:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 40755, ""truck_count"": 1, ""contract_ref"": ""CNTR-27041"", ""storage_location"": ""TankFarm-3""}",25173.81,INR,2025-01-06T09:23:00
24,Group C,BPCL-TXN-1000014,incoming,Sahil Verma,sahil.verma@bpcl.co.in,592230.21,INR,ATF,48903,"TRK5065,TRK5371,TRK3608,TRK2771,TRK7267,TRK1634","TID593554,TID333238,TID309267,TID956253,TID582662,TID466643",,2025-02-09,TankFarm-4,CNTR-23652,Standard operation,2025-03-26T06:25:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 48903, ""truck_count"": 6, ""contract_ref"": ""CNTR-23652"", ""storage_location"": ""TankFarm-4""}",25187.18,INR,2025-03-26T06:25:00
25,Group A,BPCL-TXN-1000015,incoming,Meera Rao,meera.rao@bpcl.co.in,279580.94,INR,Naphtha,31193,"TRK9785,TRK6425,TRK1452,TRK2889,TRK5279,TRK3925","TID708792,TID378361,TID140115,TID213668,TID725550,TID555673",,2025-02-14,TankFarm-12,CNTR-25139,Quality check required,2025-03-19T16:07:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 31193, ""truck_count"": 6, ""contract_ref"": ""CNTR-25139"", ""storage_location"": ""TankFarm-12""}",25200.55,INR,2025-03-19T16:07:00
26,Group B,BPCL-TXN-1000016,incoming,Vikram Sharma,vikram.sharma@bpcl.co.in,538869.33,INR,MS,39073,"TRK4228,TRK6967,TRK8066,TRK2146,TRK6409","TID753425,TID429164,TID795612,TID989208,TID230679",,2025-02-08,TankFarm-9,CNTR-25067,Quality check required,2025-02-11T12:44:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 39073, ""truck_count"": 5, ""contract_ref"": ""CNTR-25067"", ""storage_location"": ""TankFarm-9""}",25213.92,INR,2025-02-11T12:44:00
27,Group C,BPCL-TXN-1000017,incoming,Sunita Jain,sunita.jain@bpcl.co.in,507073.84,INR,ATF,49388,"TRK3851,TRK5930,TRK7653,TRK9977,TRK1006,TRK5978","TID400850,TID320392,TID550770,TID923927,TID708158,TID736130",,2025-03-25,TankFarm-6,CNTR-27618,Temperature sensitive,2025-02-26T21:13:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 49388, ""truck_count"": 6, ""contract_ref"": ""CNTR-27618"", ""storage_location"": ""TankFarm-6""}",25227.29,INR,2025-02-26T21:13:00
28,Group A,BPCL-TXN-1000018,incoming,Pooja Patel,pooja.patel@bpcl.co.in,230745.14,INR,Naphtha,26966,TRK4848,TID805477,,2025-02-09,TankFarm-4,CNTR-23262,Customs hold,2025-01-04T01:15:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 26966, ""truck_count"": 1, ""contract_ref"": ""CNTR-23262"", ""storage_location"": ""TankFarm-4""}",25240.66,INR,2025-01-04T01:15:00
30,Group C,BPCL-TXN-1000019,incoming,Rahul Sharma,rahul.sharma@bpcl.co.in,429119.2,INR,MS,34914,"TRK8612,TRK9702","TID686075,TID724377",,2025-02-10,TankFarm-8,CNTR-28270,Quality check required,2025-03-12T14:57:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 34914, ""truck_count"": 2, ""contract_ref"": ""CNTR-28270"", ""storage_location"": ""TankFarm-8""}",25254.03,INR,2025-03-12T14:57:00
31,Group A,BPCL-TXN-1000020,incoming,Rahul Rao,rahul.rao@bpcl.co.in,570038.17,INR,LDO,39163,"TRK4919,TRK5499,TRK8206,TRK2269","TID848206,TID399607,TID345884,TID384913",,2025-02-12,TankFarm-6,CNTR-28849,Requires escort,2025-01-18T04:14:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""LDO"", ""quantity_liters"": 39163, ""truck_count"": 4, ""contract_ref"": ""CNTR-28849"", ""storage_location"": ""TankFarm-6""}",25267.4,INR,2025-01-18T04:14:00
32,Group B,BPCL-TXN-1000021,incoming,Sahil Desai,sahil.desai@bpcl.co.in,71565.92,INR,ATF,26684,"TRK8633,TRK7812,TRK2020,TRK4388,TRK7883","TID508396,TID907189,TID712451,TID829308,TID120480",,2025-03-15,TankFarm-7,CNTR-27814,Standard operation,2025-02-15T09:48:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 26684, ""truck_count"": 5, ""contract_ref"": ""CNTR-27814"", ""storage_location"": ""TankFarm-7""}",25280.77,INR,2025-02-15T09:48:00
33,Group C,BPCL-TXN-1000022,incoming,Shreya Khosla,shreya.khosla@bpcl.co.in,557609.69,INR,Naphtha,19453,"TRK4595,TRK5471,TRK8140,TRK8956","TID130434,TID507746,TID452457,TID801364",,2025-03-28,TankFarm-7,CNTR-22704,Temperature sensitive,2025-01-17T19:34:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 19453, ""truck_count"": 4, ""contract_ref"": ""CNTR-22704"", ""storage_location"": ""TankFarm-7""}",25294.14,INR,2025-01-17T19:34:00
34,Group A,BPCL-TXN-1000023,incoming,Anil Bansal,anil.bansal@bpcl.co.in,505674.82,INR,MS,47123,"TRK3223,TRK8564,TRK3977,TRK1823","TID372793,TID497519,TID443254,TID321941",,2025-02-28,TankFarm-6,CNTR-25529,Quality check required,2025-02-05T13:16:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 47123, ""truck_count"": 4, ""contract_ref"": ""CNTR-25529"", ""storage_location"": ""TankFarm-6""}",25307.51,INR,2025-02-05T13:16:00
36,Group C,BPCL-TXN-1000024,incoming,Rahul Gupta,rahul.gupta@bpcl.co.in,107932.35,INR,HSD,35476,"TRK5198,TRK7043,TRK3749,TRK2876,TRK3683,TRK6096","TID213349,TID706794,TID126925,TID427110,TID703766,TID810250",,2025-02-18,TankFarm-7,CNTR-23249,Requires escort,2025-03-17T22:53:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 35476, ""truck_count"": 6, ""contract_ref"": ""CNTR-23249"", ""storage_location"": ""TankFarm-7""}",25320.88,INR,2025-03-17T22:53:00
38,Group B,BPCL-TXN-1000025,incoming,Ajay Singh,ajay.singh@bpcl.co.in,101515.68,INR,LDO,46653,"TRK3506,TRK8135,TRK3885,TRK9548","TID782054,TID383201,TID745830,TID947458",,2025-03-10,TankFarm-8,CNTR-27616,Quality check required,2025-03-17T08:20:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""LDO"", ""quantity_liters"": 46653, ""truck_count"": 4, ""contract_ref"": ""CNTR-27616"", ""storage_location"": ""TankFarm-8""}",25334.25,INR,2025-03-17T08:20:00
41,Group B,BPCL-TXN-1000026,incoming,Pooja Khosla,pooja.khosla@bpcl.co.in,380845.47,INR,MS,11098,"TRK4630,TRK7625,TRK4986","TID421080,TID796212,TID709805",,2025-02-17,TankFarm-8,CNTR-29068,Documentation pending,2025-02-14T13:47:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 11098, ""truck_count"": 3, ""contract_ref"": ""CNTR-29068"", ""storage_location"": ""TankFarm-8""}",25347.62,INR,2025-02-14T13:47:00
43,Group A,BPCL-TXN-1000027,incoming,Vikram Khosla,vikram.khosla@bpcl.co.in,452450.51,INR,Naphtha,44111,"TRK2647,TRK4180,TRK5853","TID338533,TID478411,TID288158",,2025-02-08,TankFarm-1,CNTR-28751,Customs hold,2025-02-05T01:03:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 44111, ""truck_count"": 3, ""contract_ref"": ""CNTR-28751"", ""storage_location"": ""TankFarm-1""}",25360.99,INR,2025-02-05T01:03:00
45,Group C,BPCL-TXN-1000028,incoming,Neha Singh,neha.singh@bpcl.co.in,78709.57,INR,MS,14943,"TRK5978,TRK2395","TID360247,TID224205",,2025-03-13,TankFarm-7,CNTR-29933,Weather delay,2025-03-08T12:28:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 14943, ""truck_count"": 2, ""contract_ref"": ""CNTR-29933"", ""storage_location"": ""TankFarm-7""}",25374.36,INR,2025-03-08T12:28:00
47,Group B,BPCL-TXN-1000029,incoming,Amit Sharma,amit.sharma@bpcl.co.in,321175.24,INR,Naphtha,35796,"TRK1534,TRK4792,TRK5720","TID841296,TID396451,TID837135",,2025-02-28,TankFarm-2,CNTR-23824,Priority consignment,2025-03-22T18:42:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 35796, ""truck_count"": 3, ""contract_ref"": ""CNTR-23824"", ""storage_location"": ""TankFarm-2""}",25387.73,INR,2025-03-22T18:42:00
53,Group B,BPCL-TXN-1000030,incoming,Pooja Singh,pooja.singh@bpcl.co.in,575993.14,INR,HSD,22501,"TRK3146,TRK5719,TRK8178,TRK8941,TRK2989","TID130271,TID760626,TID738448,TID938141,TID350921",,2025-04-01,TankFarm-3,CNTR-25091,Documentation pending,2025-01-02T17:26:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 22501, ""truck_count"": 5, ""contract_ref"": ""CNTR-25091"", ""storage_location"": ""TankFarm-3""}",25401.1,INR,2025-01-02T17:26:00
54,Group C,BPCL-TXN-1000031,incoming,Rahul Patel,rahul.patel@bpcl.co.in,494589.52,INR,HSD,37661,"TRK5781,TRK9337,TRK5479,TRK7807,TRK8905,TRK8736","TID355570,TID578975,TID678043,TID251668,TID502219,TID299869",,2025-03-18,TankFarm-9,CNTR-22236,Requires escort,2025-02-05T13:21:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 37661, ""truck_count"": 6, ""contract_ref"": ""CNTR-22236"", ""storage_location"": ""TankFarm-9""}",25414.47,INR,2025-02-05T13:21:00
56,Group B,BPCL-TXN-1000032,incoming,Kavita Verma,kavita.verma@bpcl.co.in,655461.22,INR,HSD,42473,"TRK4826,TRK7730,TRK1715,TRK6213","TID880879,TID595951,TID839485,TID950823",,2025-02-18,TankFarm-7,CNTR-22492,Temperature sensitive,2025-01-05T04:32:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 42473, ""truck_count"": 4, ""contract_ref"": ""CNTR-22492"", ""storage_location"": ""TankFarm-7""}",25427.84,INR,2025-01-05T04:32:00
58,Group A,BPCL-TXN-1000033,incoming,Ketan Bansal,ketan.bansal@bpcl.co.in,527210.83,INR,MS,26532,"TRK9742,TRK7226,TRK6188,TRK8994,TRK9864,TRK1588","TID747453,TID171744,TID346174,TID761820,TID817644,TID401338",,2025-01-30,TankFarm-12,CNTR-21480,Quality check required,2025-01-13T20:45:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 26532, ""truck_count"": 6, ""contract_ref"": ""CNTR-21480"", ""storage_location"": ""TankFarm-12""}",25441.21,INR,2025-01-13T20:45:00
60,Group C,BPCL-TXN-1000034,incoming,Amit Mehta,amit.mehta@bpcl.co.in,82252.05,INR,ATF,45613,"TRK4945,TRK9153,TRK3344,TRK4804,TRK8555,TRK5161","TID581894,TID367729,TID799233,TID109853,TID943718,TID587853",,2025-02-06,TankFarm-11,CNTR-28955,Customs hold,2025-01-10T14:22:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 45613, ""truck_count"": 6, ""contract_ref"": ""CNTR-28955"", ""storage_location"": ""TankFarm-11""}",25454.58,INR,2025-01-10T14:22:00
62,Group B,BPCL-TXN-1000035,incoming,Ramesh Gupta,ramesh.gupta@bpcl.co.in,311959.16,INR,MS,42088,"TRK1803,TRK9138,TRK5689,TRK4770,TRK6772,TRK4588","TID767542,TID299367,TID751051,TID362801,TID810687,TID892280",,2025-03-26,TankFarm-11,CNTR-22240,Requires escort,2025-03-22T20:02:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 42088, ""truck_count"": 6, ""contract_ref"": ""CNTR-22240"", ""storage_location"": ""TankFarm-11""}",25467.95,INR,2025-03-22T20:02:00
63,Group C,BPCL-TXN-1000036,incoming,Ramesh Bansal,ramesh.bansal@bpcl.co.in,289524.39,INR,HSD,10906,"TRK6352,TRK7807,TRK3877","TID310548,TID238579,TID924718",,2025-03-11,TankFarm-6,CNTR-28697,Documentation pending,2025-02-04T05:16:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 10906, ""truck_count"": 3, ""contract_ref"": ""CNTR-28697"", ""storage_location"": ""TankFarm-6""}",25481.32,INR,2025-02-04T05:16:00
65,Group B,BPCL-TXN-1000037,incoming,Shreya Patel,shreya.patel@bpcl.co.in,354719.87,INR,LDO,43309,"TRK7086,TRK2775,TRK4830,TRK8724","TID126240,TID749641,TID688678,TID443939",,2025-03-20,TankFarm-4,CNTR-21035,Temperature sensitive,2025-03-31T09:41:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""LDO"", ""quantity_liters"": 43309, ""truck_count"": 4, ""contract_ref"": ""CNTR-21035"", ""storage_location"": ""TankFarm-4""}",25494.69,INR,2025-03-31T09:41:00
66,Group C,BPCL-TXN-1000038,incoming,Ramesh Sharma,ramesh.sharma@bpcl.co.in,245664.32,INR,ATF,12610,TRK4846,TID663658,,2025-01-18,TankFarm-7,CNTR-27432,Gate pass pending,2025-03-27T23:44:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 12610, ""truck_count"": 1, ""contract_ref"": ""CNTR-27432"", ""storage_location"": ""TankFarm-7""}",25508.06,INR,2025-03-27T23:44:00
70,Group A,BPCL-TXN-1000039,incoming,Vikram Mehta,vikram.mehta@bpcl.co.in,740957.3,INR,Naphtha,21426,"TRK2801,TRK1422","TID238205,TID115582",,2025-02-15,TankFarm-4,CNTR-29647,Gate pass pending,2025-01-03T05:16:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 21426, ""truck_count"": 2, ""contract_ref"": ""CNTR-29647"", ""storage_location"": ""TankFarm-4""}",25521.43,INR,2025-01-03T05:16:00
71,Group B,BPCL-TXN-1000040,incoming,Shreya Patel,shreya.patel@bpcl.co.in,565607.32,INR,ATF,34378,"TRK9408,TRK2786,TRK8405","TID628313,TID332311,TID744986",,2025-01-06,TankFarm-12,CNTR-28543,Priority consignment,2025-02-28T20:01:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 34378, ""truck_count"": 3, ""contract_ref"": ""CNTR-28543"", ""storage_location"": ""TankFarm-12""}",25534.8,INR,2025-02-28T20:01:00
72,Group C,BPCL-TXN-1000041,incoming,Ajay Jain,ajay.jain@bpcl.co.in,334048.37,INR,MS,37130,"TRK8267,TRK2204,TRK2323,TRK6277,TRK3430,TRK2076","TID232321,TID388375,TID754644,TID763829,TID713799,TID674993",,2025-02-11,TankFarm-7,CNTR-29787,Documentation pending,2025-02-07T14:32:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 37130, ""truck_count"": 6, ""contract_ref"": ""CNTR-29787"", ""storage_location"": ""TankFarm-7""}",25548.17,INR,2025-02-07T14:32:00
74,Group B,BPCL-TXN-1000042,incoming,Ketan Gupta,ketan.gupta@bpcl.co.in,209795.1,INR,HSD,36081,TRK2494,TID972176,,2025-01-11,TankFarm-2,CNTR-27075,Requires escort,2025-02-17T04:35:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 36081, ""truck_count"": 1, ""contract_ref"": ""CNTR-27075"", ""storage_location"": ""TankFarm-2""}",25561.54,INR,2025-02-17T04:35:00
75,Group C,BPCL-TXN-1000043,incoming,Pooja Patel,pooja.patel@bpcl.co.in,322836.26,INR,ATF,8371,"TRK6119,TRK6761,TRK2697","TID705991,TID632060,TID323072",,2025-01-20,TankFarm-11,CNTR-27900,Weather delay,2025-01-14T11:54:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 8371, ""truck_count"": 3, ""contract_ref"": ""CNTR-27900"", ""storage_location"": ""TankFarm-11""}",25574.91,INR,2025-01-14T11:54:00
78,Group C,BPCL-TXN-1000044,incoming,Amit Verma,amit.verma@bpcl.co.in,250937.09,INR,LDO,42197,"TRK2391,TRK1861,TRK3549,TRK3579,TRK1815","TID806707,TID185544,TID385320,TID564637,TID794093",,2025-02-24,TankFarm-8,CNTR-29946,Temperature sensitive,2025-02-23T08:13:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""LDO"", ""quantity_liters"": 42197, ""truck_count"": 5, ""contract_ref"": ""CNTR-29946"", ""storage_location"": ""TankFarm-8""}",25588.28,INR,2025-02-23T08:13:00
80,Group B,BPCL-TXN-1000045,incoming,Meera Mehta,meera.mehta@bpcl.co.in,579016.65,INR,LDO,26503,TRK1126,TID621546,,2025-02-25,TankFarm-3,CNTR-22116,Quality check required,2025-03-10T22:14:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""LDO"", ""quantity_liters"": 26503, ""truck_count"": 1, ""contract_ref"": ""CNTR-22116"", ""storage_location"": ""TankFarm-3""}",25601.65,INR,2025-03-10T22:14:00
81,Group C,BPCL-TXN-1000046,incoming,Priya Jain,priya.jain@bpcl.co.in,649779.16,INR,MS,33588,TRK8532,TID181644,,2025-02-10,TankFarm-10,CNTR-27033,Quality check required,2025-04-01T20:26:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 33588, ""truck_count"": 1, ""contract_ref"": ""CNTR-27033"", ""storage_location"": ""TankFarm-10""}",25615.02,INR,2025-04-01T20:26:00
82,Group A,BPCL-TXN-1000047,incoming,Ramesh Verma,ramesh.verma@bpcl.co.in,149608.06,INR,Naphtha,35152,"TRK6928,TRK2443,TRK8155,TRK2734,TRK4986,TRK8138","TID717476,TID519902,TID649414,TID182467,TID514991,TID425346",,2025-02-13,TankFarm-4,CNTR-25456,Customs hold,2025-01-10T16:40:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 35152, ""truck_count"": 6, ""contract_ref"": ""CNTR-25456"", ""storage_location"": ""TankFarm-4""}",25628.39,INR,2025-01-10T16:40:00
83,Group B,BPCL-TXN-1000048,incoming,Sunita Verma,sunita.verma@bpcl.co.in,279547.31,INR,HSD,20484,TRK3399,TID368402,,2025-01-26,TankFarm-3,CNTR-29869,Customs hold,2025-03-25T02:11:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 20484, ""truck_count"": 1, ""contract_ref"": ""CNTR-29869"", ""storage_location"": ""TankFarm-3""}",25641.76,INR,2025-03-25T02:11:00
