id,group,transaction_id,transaction_type,recipient_name,recipient_email,amount,currency,fuel_type,quantity_liters,truck_number,truck_id,departure_date,arrival_date,storage_location,contract_ref,notes,created_at,metadata
12,Group C,BPCL-TXN-2130789,incoming,Kavita Sharma,kavita.sharma@bpcl.co.in,648235.67,INR,MS,38695,"TRK5562,TRK8953","TID324643,TID665427",,2025-01-17,TankFarm-12,CNTR-29355,Temperature sensitive,2025-02-01T15:51:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 38695, ""truck_count"": 2, ""contract_ref"": ""CNTR-29355"", ""storage_location"": ""TankFarm-12""}"
13,Group A,BPCL-TXN-2582524,incoming,Priya Gupta,priya.gupta@bpcl.co.in,337512.11,INR,ATF,31941,"TRK1887,TRK2612,TRK1993,TRK7596","TID863587,TID455784,TID939482,TID214576",,2025-02-01,TankFarm-4,CNTR-23116,Documentation pending,2025-02-27T04:27:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 31941, ""truck_count"": 4, ""contract_ref"": ""CNTR-23116"", ""storage_location"": ""TankFarm-4""}"
14,Group B,BPCL-TXN-8761611,incoming,Sunita Patel,sunita.patel@bpcl.co.in,346269.79,INR,Naphtha,11416,TRK9856,TID976638,,2025-01-02,TankFarm-2,CNTR-23872,Customs hold,2025-02-22T15:30:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 11416, ""truck_count"": 1, ""contract_ref"": ""CNTR-23872"", ""storage_location"": ""TankFarm-2""}"
15,Group C,BPCL-TXN-7728339,incoming,Kavita Sharma,kavita.sharma@bpcl.co.in,144361.91,INR,MS,30586,"TRK8454,TRK5673,TRK7930","TID830429,TID865990,TID921414",,2025-03-13,TankFarm-11,CNTR-27973,Customs hold,2025-01-25T09:13:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 30586, ""truck_count"": 3, ""contract_ref"": ""CNTR-27973"", ""storage_location"": ""TankFarm-11""}"
16,Group A,BPCL-TXN-2022698,outgoing,Sahil Verma,sahil.verma@bpcl.co.in,66444.82,INR,Naphtha,32246,TRK9238,TID994141,2025-03-09,,TankFarm-3,CNTR-20931,Documentation pending,2025-01-11T05:04:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 32246, ""truck_count"": 1, ""contract_ref"": ""CNTR-20931"", ""storage_location"": ""TankFarm-3""}"
17,Group B,BPCL-TXN-4946066,outgoing,Neha Patel,neha.patel@bpcl.co.in,707657.19,INR,Naphtha,17135,TRK1651,TID749468,2025-01-11,,TankFarm-7,CNTR-29562,Documentation pending,2025-02-10T08:13:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 17135, ""truck_count"": 1, ""contract_ref"": ""CNTR-29562"", ""storage_location"": ""TankFarm-7""}"
18,Group C,BPCL-TXN-6271130,outgoing,Sunita Rao,sunita.rao@bpcl.co.in,311944.74,INR,LDO,30964,TRK6180,TID888387,2025-01-10,,TankFarm-1,CNTR-27508,Requires escort,2025-01-10T17:13:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""LDO"", ""quantity_liters"": 30964, ""truck_count"": 1, ""contract_ref"": ""CNTR-27508"", ""storage_location"": ""TankFarm-1""}"
19,Group A,BPCL-TXN-3222252,incoming,Kavita Verma,kavita.verma@bpcl.co.in,663626.53,INR,HSD,29217,"TRK3584,TRK8179,TRK9900","TID837715,TID417212,TID741390",,2025-03-25,TankFarm-9,CNTR-20128,Documentation pending,2025-02-08T21:06:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 29217, ""truck_count"": 3, ""contract_ref"": ""CNTR-20128"", ""storage_location"": ""TankFarm-9""}"
20,Group B,BPCL-TXN-3253031,outgoing,Vikram Patel,vikram.patel@bpcl.co.in,670041.71,INR,Naphtha,11187,TRK5462,TID395442,2025-03-19,,TankFarm-4,CNTR-25617,Weather delay,2025-03-29T20:54:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 11187, ""truck_count"": 1, ""contract_ref"": ""CNTR-25617"", ""storage_location"": ""TankFarm-4""}"
21,Group C,BPCL-TXN-9196204,incoming,Vikram Sharma,vikram.sharma@bpcl.co.in,91916.39,INR,ATF,23132,TRK1058,TID449759,,2025-01-17,TankFarm-11,CNTR-24291,Customs hold,2025-02-26T17:45:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 23132, ""truck_count"": 1, ""contract_ref"": ""CNTR-24291"", ""storage_location"": ""TankFarm-11""}"
22,Group A,BPCL-TXN-1162230,incoming,Priya Patel,priya.patel@bpcl.co.in,710161.93,INR,HSD,40755,TRK7049,TID710805,,2025-03-12,TankFarm-3,CNTR-27041,Customs hold,2025-01-06T09:23:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 40755, ""truck_count"": 1, ""contract_ref"": ""CNTR-27041"", ""storage_location"": ""TankFarm-3""}"
23,Group B,BPCL-TXN-1669324,outgoing,Kavita Verma,kavita.verma@bpcl.co.in,177305.49,INR,HSD,7736,TRK6794,TID918011,2025-03-13,,TankFarm-7,CNTR-22532,Weather delay,2025-01-21T05:56:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""HSD"", ""quantity_liters"": 7736, ""truck_count"": 1, ""contract_ref"": ""CNTR-22532"", ""storage_location"": ""TankFarm-7""}"
24,Group C,BPCL-TXN-4009172,incoming,Sahil Verma,sahil.verma@bpcl.co.in,592230.21,INR,ATF,48903,"TRK5065,TRK5371,TRK3608,TRK2771,TRK7267,TRK1634","TID593554,TID333238,TID309267,TID956253,TID582662,TID466643",,2025-02-09,TankFarm-4,CNTR-23652,Standard operation,2025-03-26T06:25:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 48903, ""truck_count"": 6, ""contract_ref"": ""CNTR-23652"", ""storage_location"": ""TankFarm-4""}"
25,Group A,BPCL-TXN-2164686,incoming,Meera Rao,meera.rao@bpcl.co.in,279580.94,INR,Naphtha,31193,"TRK9785,TRK6425,TRK1452,TRK2889,TRK5279,TRK3925","TID708792,TID378361,TID140115,TID213668,TID725550,TID555673",,2025-02-14,TankFarm-12,CNTR-25139,Quality check required,2025-03-19T16:07:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 31193, ""truck_count"": 6, ""contract_ref"": ""CNTR-25139"", ""storage_location"": ""TankFarm-12""}"
26,Group B,BPCL-TXN-4188992,incoming,Vikram Sharma,vikram.sharma@bpcl.co.in,538869.33,INR,MS,39073,"TRK4228,TRK6967,TRK8066,TRK2146,TRK6409","TID753425,TID429164,TID795612,TID989208,TID230679",,2025-02-08,TankFarm-9,CNTR-25067,Quality check required,2025-02-11T12:44:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 39073, ""truck_count"": 5, ""contract_ref"": ""CNTR-25067"", ""storage_location"": ""TankFarm-9""}"
27,Group C,BPCL-TXN-3135534,incoming,Sunita Jain,sunita.jain@bpcl.co.in,507073.84,INR,ATF,49388,"TRK3851,TRK5930,TRK7653,TRK9977,TRK1006,TRK5978","TID400850,TID320392,TID550770,TID923927,TID708158,TID736130",,2025-03-25,TankFarm-6,CNTR-27618,Temperature sensitive,2025-02-26T21:13:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 49388, ""truck_count"": 6, ""contract_ref"": ""CNTR-27618"", ""storage_location"": ""TankFarm-6""}"
28,Group A,BPCL-TXN-3846949,incoming,Pooja Patel,pooja.patel@bpcl.co.in,230745.14,INR,Naphtha,26966,TRK4848,TID805477,,2025-02-09,TankFarm-4,CNTR-23262,Customs hold,2025-01-04T01:15:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 26966, ""truck_count"": 1, ""contract_ref"": ""CNTR-23262"", ""storage_location"": ""TankFarm-4""}"
29,Group B,BPCL-TXN-2221854,outgoing,Rahul Jain,rahul.jain@bpcl.co.in,667449.26,INR,Naphtha,13742,TRK7291,TID618392,2025-02-21,,TankFarm-4,CNTR-22417,Standard operation,2025-01-14T13:14:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 13742, ""truck_count"": 1, ""contract_ref"": ""CNTR-22417"", ""storage_location"": ""TankFarm-4""}"
30,Group C,BPCL-TXN-9689889,incoming,Rahul Sharma,rahul.sharma@bpcl.co.in,429119.2,INR,MS,34914,"TRK8612,TRK9702","TID686075,TID724377",,2025-02-10,TankFarm-8,CNTR-28270,Quality check required,2025-03-12T14:57:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 34914, ""truck_count"": 2, ""contract_ref"": ""CNTR-28270"", ""storage_location"": ""TankFarm-8""}"
31,Group A,BPCL-TXN-8963715,incoming,Rahul Rao,rahul.rao@bpcl.co.in,570038.17,INR,LDO,39163,"TRK4919,TRK5499,TRK8206,TRK2269","TID848206,TID399607,TID345884,TID384913",,2025-02-12,TankFarm-6,CNTR-28849,Requires escort,2025-01-18T04:14:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""LDO"", ""quantity_liters"": 39163, ""truck_count"": 4, ""contract_ref"": ""CNTR-28849"", ""storage_location"": ""TankFarm-6""}"
32,Group B,BPCL-TXN-3563646,incoming,Sahil Desai,sahil.desai@bpcl.co.in,71565.92,INR,ATF,26684,"TRK8633,TRK7812,TRK2020,TRK4388,TRK7883","TID508396,TID907189,TID712451,TID829308,TID120480",,2025-03-15,TankFarm-7,CNTR-27814,Standard operation,2025-02-15T09:48:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""ATF"", ""quantity_liters"": 26684, ""truck_count"": 5, ""contract_ref"": ""CNTR-27814"", ""storage_location"": ""TankFarm-7""}"
33,Group C,BPCL-TXN-8030010,incoming,Shreya Khosla,shreya.khosla@bpcl.co.in,557609.69,INR,Naphtha,19453,"TRK4595,TRK5471,TRK8140,TRK8956","TID130434,TID507746,TID452457,TID801364",,2025-03-28,TankFarm-7,CNTR-22704,Temperature sensitive,2025-01-17T19:34:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 19453, ""truck_count"": 4, ""contract_ref"": ""CNTR-22704"", ""storage_location"": ""TankFarm-7""}"
34,Group A,BPCL-TXN-7610562,incoming,Anil Bansal,anil.bansal@bpcl.co.in,505674.82,INR,MS,47123,"TRK3223,TRK8564,TRK3977,TRK1823","TID372793,TID497519,TID443254,TID321941",,2025-02-28,TankFarm-6,CNTR-25529,Quality check required,2025-02-05T13:16:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 47123, ""truck_count"": 4, ""contract_ref"": ""CNTR-25529"", ""storage_location"": ""TankFarm-6""}"
35,Group B,BPCL-TXN-8890439,outgoing,Ramesh Khosla,ramesh.khosla@bpcl.co.in,416078.81,INR,LDO,15694,TRK2124,TID919182,2025-03-25,,TankFarm-1,CNTR-20508,Weather delay,2025-01-26T00:39:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""LDO"", ""quantity_liters"": 15694, ""truck_count"": 1, ""contract_ref"": ""CNTR-20508"", ""storage_location"": ""TankFarm-1""}"
36,Group C,BPCL-TXN-3117636,incoming,Rahul Gupta,rahul.gupta@bpcl.co.in,107932.35,INR,HSD,35476,"TRK5198,TRK7043,TRK3749,TRK2876,TRK3683,TRK6096","TID213349,TID706794,TID126925,TID427110,TID703766,TID810250",,2025-02-18,TankFarm-7,CNTR-23249,Requires escort,2025-03-17T22:53:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 35476, ""truck_count"": 6, ""contract_ref"": ""CNTR-23249"", ""storage_location"": ""TankFarm-7""}"
37,Group A,BPCL-TXN-2709620,outgoing,Sahil Rao,sahil.rao@bpcl.co.in,641462.6,INR,Naphtha,8933,TRK1672,TID464069,2025-03-10,,TankFarm-7,CNTR-26071,Requires escort,2025-03-06T20:21:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 8933, ""truck_count"": 1, ""contract_ref"": ""CNTR-26071"", ""storage_location"": ""TankFarm-7""}"
38,Group B,BPCL-TXN-8047416,incoming,Ajay Singh,ajay.singh@bpcl.co.in,101515.68,INR,LDO,46653,"TRK3506,TRK8135,TRK3885,TRK9548","TID782054,TID383201,TID745830,TID947458",,2025-03-10,TankFarm-8,CNTR-27616,Quality check required,2025-03-17T08:20:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""LDO"", ""quantity_liters"": 46653, ""truck_count"": 4, ""contract_ref"": ""CNTR-27616"", ""storage_location"": ""TankFarm-8""}"
39,Group C,BPCL-TXN-2453962,outgoing,Vikram Singh,vikram.singh@bpcl.co.in,201800.99,INR,ATF,38345,TRK7209,TID452737,2025-01-04,,TankFarm-8,CNTR-25325,Customs hold,2025-03-04T06:22:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""ATF"", ""quantity_liters"": 38345, ""truck_count"": 1, ""contract_ref"": ""CNTR-25325"", ""storage_location"": ""TankFarm-8""}"
40,Group A,BPCL-TXN-6709938,outgoing,Vikram Bansal,vikram.bansal@bpcl.co.in,533358.22,INR,LDO,37424,TRK1166,TID641722,2025-01-25,,TankFarm-2,CNTR-23954,Quality check required,2025-03-04T17:48:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""LDO"", ""quantity_liters"": 37424, ""truck_count"": 1, ""contract_ref"": ""CNTR-23954"", ""storage_location"": ""TankFarm-2""}"
41,Group B,BPCL-TXN-8987516,incoming,Pooja Khosla,pooja.khosla@bpcl.co.in,380845.47,INR,MS,11098,"TRK4630,TRK7625,TRK4986","TID421080,TID796212,TID709805",,2025-02-17,TankFarm-8,CNTR-29068,Documentation pending,2025-02-14T13:47:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 11098, ""truck_count"": 3, ""contract_ref"": ""CNTR-29068"", ""storage_location"": ""TankFarm-8""}"
42,Group C,BPCL-TXN-6902401,outgoing,Sahil Singh,sahil.singh@bpcl.co.in,221414.41,INR,LDO,16108,TRK2976,TID856321,2025-01-25,,TankFarm-6,CNTR-21958,Documentation pending,2025-03-30T05:12:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""LDO"", ""quantity_liters"": 16108, ""truck_count"": 1, ""contract_ref"": ""CNTR-21958"", ""storage_location"": ""TankFarm-6""}"
43,Group A,BPCL-TXN-9123504,incoming,Vikram Khosla,vikram.khosla@bpcl.co.in,452450.51,INR,Naphtha,44111,"TRK2647,TRK4180,TRK5853","TID338533,TID478411,TID288158",,2025-02-08,TankFarm-1,CNTR-28751,Customs hold,2025-02-05T01:03:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 44111, ""truck_count"": 3, ""contract_ref"": ""CNTR-28751"", ""storage_location"": ""TankFarm-1""}"
44,Group B,BPCL-TXN-3118618,outgoing,Pooja Singh,pooja.singh@bpcl.co.in,99376.04,INR,MS,38621,TRK5658,TID592198,2025-03-03,,TankFarm-8,CNTR-25582,Customs hold,2025-01-07T08:55:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""MS"", ""quantity_liters"": 38621, ""truck_count"": 1, ""contract_ref"": ""CNTR-25582"", ""storage_location"": ""TankFarm-8""}"
45,Group C,BPCL-TXN-2096280,incoming,Neha Singh,neha.singh@bpcl.co.in,78709.57,INR,MS,14943,"TRK5978,TRK2395","TID360247,TID224205",,2025-03-13,TankFarm-7,CNTR-29933,Weather delay,2025-03-08T12:28:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""MS"", ""quantity_liters"": 14943, ""truck_count"": 2, ""contract_ref"": ""CNTR-29933"", ""storage_location"": ""TankFarm-7""}"
46,Group A,BPCL-TXN-5988757,outgoing,Ajay Bansal,ajay.bansal@bpcl.co.in,742772.66,INR,LDO,38265,TRK1986,TID739244,2025-01-13,,TankFarm-4,CNTR-23457,Priority consignment,2025-03-26T02:10:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""LDO"", ""quantity_liters"": 38265, ""truck_count"": 1, ""contract_ref"": ""CNTR-23457"", ""storage_location"": ""TankFarm-4""}"
47,Group B,BPCL-TXN-2259379,incoming,Amit Sharma,amit.sharma@bpcl.co.in,321175.24,INR,Naphtha,35796,"TRK1534,TRK4792,TRK5720","TID841296,TID396451,TID837135",,2025-02-28,TankFarm-2,CNTR-23824,Priority consignment,2025-03-22T18:42:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 35796, ""truck_count"": 3, ""contract_ref"": ""CNTR-23824"", ""storage_location"": ""TankFarm-2""}"
48,Group C,BPCL-TXN-4318855,outgoing,Neha Patel,neha.patel@bpcl.co.in,419807.72,INR,HSD,18408,TRK3330,TID174878,2025-01-08,,TankFarm-3,CNTR-25039,Priority consignment,2025-02-26T03:29:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""HSD"", ""quantity_liters"": 18408, ""truck_count"": 1, ""contract_ref"": ""CNTR-25039"", ""storage_location"": ""TankFarm-3""}"
49,Group A,BPCL-TXN-7752972,outgoing,Vikram Nair,vikram.nair@bpcl.co.in,416486.63,INR,ATF,6271,TRK1653,TID553014,2025-02-11,,TankFarm-10,CNTR-24102,Standard operation,2025-01-12T07:43:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""ATF"", ""quantity_liters"": 6271, ""truck_count"": 1, ""contract_ref"": ""CNTR-24102"", ""storage_location"": ""TankFarm-10""}"
50,Group B,BPCL-TXN-1348050,outgoing,Meera Gupta,meera.gupta@bpcl.co.in,620530.4,INR,Naphtha,3636,TRK3870,TID593355,2025-03-08,,TankFarm-11,CNTR-27245,Priority consignment,2025-01-24T18:27:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""Naphtha"", ""quantity_liters"": 3636, ""truck_count"": 1, ""contract_ref"": ""CNTR-27245"", ""storage_location"": ""TankFarm-11""}"
51,Group C,BPCL-TXN-9249789,outgoing,Priya Singh,priya.singh@bpcl.co.in,277271.77,INR,LDO,22040,TRK2713,TID999398,2025-01-21,,TankFarm-6,CNTR-26744,Temperature sensitive,2025-02-06T21:25:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""LDO"", ""quantity_liters"": 22040, ""truck_count"": 1, ""contract_ref"": ""CNTR-26744"", ""storage_location"": ""TankFarm-6""}"
52,Group A,BPCL-TXN-1615675,outgoing,Rahul Patel,rahul.patel@bpcl.co.in,253024.94,INR,LDO,8597,TRK7622,TID639593,2025-01-01,,TankFarm-11,CNTR-28889,Temperature sensitive,2025-02-22T01:12:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""LDO"", ""quantity_liters"": 8597, ""truck_count"": 1, ""contract_ref"": ""CNTR-28889"", ""storage_location"": ""TankFarm-11""}"
53,Group B,BPCL-TXN-9363326,incoming,Pooja Singh,pooja.singh@bpcl.co.in,575993.14,INR,HSD,22501,"TRK3146,TRK5719,TRK8178,TRK8941,TRK2989","TID130271,TID760626,TID738448,TID938141,TID350921",,2025-04-01,TankFarm-3,CNTR-25091,Documentation pending,2025-01-02T17:26:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 22501, ""truck_count"": 5, ""contract_ref"": ""CNTR-25091"", ""storage_location"": ""TankFarm-3""}"
54,Group C,BPCL-TXN-2903561,incoming,Rahul Patel,rahul.patel@bpcl.co.in,494589.52,INR,HSD,37661,"TRK5781,TRK9337,TRK5479,TRK7807,TRK8905,TRK8736","TID355570,TID578975,TID678043,TID251668,TID502219,TID299869",,2025-03-18,TankFarm-9,CNTR-22236,Requires escort,2025-02-05T13:21:00,"{""company"": ""BPCL"", ""transaction_type"": ""incoming"", ""fuel_type"": ""HSD"", ""quantity_liters"": 37661, ""truck_count"": 6, ""contract_ref"": ""CNTR-22236"", ""storage_location"": ""TankFarm-9""}"
55,Group A,BPCL-TXN-9518424,outgoing,Vikram Sharma,vikram.sharma@bpcl.co.in,230058.26,INR,LDO,39465,TRK9022,TID255813,2025-02-27,,TankFarm-9,CNTR-27935,Gate pass pending,2025-02-12T17:48:00,"{""company"": ""BPCL"", ""transaction_type"": ""outgoing"", ""fuel_type"": ""LDO"", ""quantity_liters"": 39465, ""truck_count"": 1, ""contract_ref"": ""CNTR-27935"", ""storage_location"": ""TankFarm-9""}"
